version:v1.0,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname]
Jacob Storch,jacob.storch@bearnecessities.app,Temporary!928, No,Jacob,Storch
Dorothy Stotts,dorothy.stotts@bearnecessities.app,Temporary!929, No,Dorothy,Stotts
Caden Stout,caden.stout@bearnecessities.app,Temporary!930, No,Caden,Stout
Laird Strand,laird.strand@bearnecessities.app,Temporary!931, No,Laird,Strand
Julia Striker,julia.striker@bearnecessities.app,Temporary!932, No,Julia,Striker
Corinne Strommer,corinne.strommer@bearnecessities.app,Temporary!933, No,Corinne,Strommer
Zoe Suhajda,zoe.suhajda@bearnecessities.app,Temporary!934, No,Zoe,Suhajda
Sean Sullivan,sean.sullivan@bearnecessities.app,Temporary!935, No,Sean,Sullivan
Justin Summers,justin.summers@bearnecessities.app,Temporary!936, No,Justin,Summers
Matthew Sun,matthew.sun@bearnecessities.app,Temporary!937, No,Matthew,Sun
Maureen Sussman,maureen.sussman@bearnecessities.app,Temporary!938, No,Maureen,Sussman
Michelle Swanson,michelle.swanson@bearnecessities.app,Temporary!939, No,Michelle,Swanson
Haley Sweet,haley.sweet@bearnecessities.app,Temporary!940, No,Haley,Sweet
Nhan Ta,nhan.ta@bearnecessities.app,Temporary!941, No,Nhan,Ta
Ethan Tabit,ethan.tabit@bearnecessities.app,Temporary!942, No,Ethan,Tabit
Lucas Tabit,lucas.tabit@bearnecessities.app,Temporary!943, No,Lucas,Tabit
John Tacchini,john.tacchini@bearnecessities.app,Temporary!944, No,John,Tacchini
Lara Taha,lara.taha@bearnecessities.app,Temporary!945, No,Lara,Taha
Delaney Taplin-Patterson,delaney.taplin-patterson@bearnecessities.app,Temporary!946, No,Delaney,Taplin-Patterson
Anna Tate,anna.tate@bearnecessities.app,Temporary!947, No,Anna,Tate
Alexis Taylor,alexis.taylor@bearnecessities.app,Temporary!948, No,Alexis,Taylor
Keith Teague,keith.teague@bearnecessities.app,Temporary!949, No,Keith,Teague
Ezra Tetreault,ezra.tetreault@bearnecessities.app,Temporary!950, No,Ezra,Tetreault
Aloysia Theobald,aloysia.theobald@bearnecessities.app,Temporary!951, No,Aloysia,Theobald
Alexander Thissell,alexander.thissell@bearnecessities.app,Temporary!952, No,Alexander,Thissell
Jake Thoenen,jake.thoenen@bearnecessities.app,Temporary!953, No,Jake,Thoenen
Matthew Thomas,matthew.thomas@bearnecessities.app,Temporary!954, No,Matthew,Thomas
Riley Thorburn,riley.thorburn@bearnecessities.app,Temporary!955, No,Riley,Thorburn
Carson Throne,carson.throne@bearnecessities.app,Temporary!956, No,Carson,Throne
Charlie Throne,charlie.throne@bearnecessities.app,Temporary!957, No,Charlie,Throne
Samson Tighe,samson.tighe@bearnecessities.app,Temporary!958, No,Samson,Tighe
Jacey Tippman,jacey.tippman@bearnecessities.app,Temporary!959, No,Jacey,Tippman
Daniella Tipton,daniella.tipton@bearnecessities.app,Temporary!960, No,Daniella,Tipton
Kathryn Tlapa,kathryn.tlapa@bearnecessities.app,Temporary!961, No,Kathryn,Tlapa
Ethan To,ethan.to@bearnecessities.app,Temporary!962, No,Ethan,To
Brett Tobasky,brett.tobasky@bearnecessities.app,Temporary!963, No,Brett,Tobasky
Ethan Tobey,ethan.tobey@bearnecessities.app,Temporary!964, No,Ethan,Tobey
Grace Tomisek,grace.tomisek@bearnecessities.app,Temporary!965, No,Grace,Tomisek
Makenna Topp,makenna.topp@bearnecessities.app,Temporary!966, No,Makenna,Topp
Drew Torell,drew.torell@bearnecessities.app,Temporary!967, No,Drew,Torell
Nicholas Torres,nicholas.torres@bearnecessities.app,Temporary!968, No,Nicholas,Torres
Carson Trager,carson.trager@bearnecessities.app,Temporary!969, No,Carson,Trager
Kai Trager,kai.trager@bearnecessities.app,Temporary!970, No,Kai,Trager
David Tran,david.tran@bearnecessities.app,Temporary!971, No,David,Tran
Alyssa Trejo,alyssa.trejo@bearnecessities.app,Temporary!972, No,Alyssa,Trejo
Jackson Triepke,jackson.triepke@bearnecessities.app,Temporary!973, No,Jackson,Triepke
Sidney Triepke,sidney.triepke@bearnecessities.app,Temporary!974, No,Sidney,Triepke
Duane Trout,duane.trout@bearnecessities.app,Temporary!975, No,Duane,Trout
Tsung-Kai Tseng,tsung-kai.tseng@bearnecessities.app,Temporary!976, No,Tsung-Kai,Tseng
James Tucker,james.tucker@bearnecessities.app,Temporary!977, No,James,Tucker
Colin Twiss,colin.twiss@bearnecessities.app,Temporary!978, No,Colin,Twiss
Walter Ulmer,walter.ulmer@bearnecessities.app,Temporary!979, No,Walter,Ulmer
Daniel Unangst,daniel.unangst@bearnecessities.app,Temporary!980, No,Daniel,Unangst
Mei Lei Urbanski,meilei.urbanski@bearnecessities.app,Temporary!981, No,Mei Lei,Urbanski
Jeremias Urieta,jeremias.urieta@bearnecessities.app,Temporary!982, No,Jeremias,Urieta
Joshua Usry,joshua.usry@bearnecessities.app,Temporary!983, No,Joshua,Usry
Janet Uwamahoro,janet.uwamahoro@bearnecessities.app,Temporary!984, No,Janet,Uwamahoro
Jaimie Valentine,jaimie.valentine@bearnecessities.app,Temporary!985, No,Jaimie,Valentine
Hannah Van Cise,hannah.vancise@bearnecessities.app,Temporary!986, No,Hannah,Van Cise
Bryce VanderWiere,bryce.vanderwiere@bearnecessities.app,Temporary!987, No,Bryce,VanderWiere
Gavin VanManen,gavin.vanmanen@bearnecessities.app,Temporary!988, No,Gavin,VanManen
Jacob Vecchio,jacob.vecchio@bearnecessities.app,Temporary!989, No,Jacob,Vecchio
Gisselle Vega,gisselle.vega@bearnecessities.app,Temporary!990, No,Gisselle,Vega
Samantha Ventimiglia,samantha.ventimiglia@bearnecessities.app,Temporary!991, No,Samantha,Ventimiglia
Natalie Verna,natalie.verna@bearnecessities.app,Temporary!992, No,Natalie,Verna
Alexander Versaw,alexander.versaw@bearnecessities.app,Temporary!993, No,Alexander,Versaw
Riley Vicinanzo,riley.vicinanzo@bearnecessities.app,Temporary!994, No,Riley,Vicinanzo
Ryan Vigo,ryan.vigo@bearnecessities.app,Temporary!995, No,Ryan,Vigo
Andres Villasana,andres.villasana@bearnecessities.app,Temporary!996, No,Andres,Villasana
Kayla Villegas Sanchez,kayla.villegassanchez@bearnecessities.app,Temporary!997, No,Kayla,Villegas Sanchez
Colin Vislay,colin.vislay@bearnecessities.app,Temporary!998, No,Colin,Vislay
Ursula Vlases,ursula.vlases@bearnecessities.app,Temporary!999, No,Ursula,Vlases
Ryan Von Weihe,ryan.vonweihe@bearnecessities.app,Temporary!1000, No,Ryan,Von Weihe
Pierson Wade,pierson.wade@bearnecessities.app,Temporary!1001, No,Pierson,Wade
Benjamin Wagner,benjamin.wagner@bearnecessities.app,Temporary!1002, No,Benjamin,Wagner
Mary Wahlin,mary.wahlin@bearnecessities.app,Temporary!1003, No,Mary,Wahlin
Olivia Wahlin,olivia.wahlin@bearnecessities.app,Temporary!1004, No,Olivia,Wahlin
Tira Waksmonski,tira.waksmonski@bearnecessities.app,Temporary!1005, No,Tira,Waksmonski
Dana Walker,dana.walker@bearnecessities.app,Temporary!1006, No,Dana,Walker
Rowan Walsh,rowan.walsh@bearnecessities.app,Temporary!1007, No,Rowan,Walsh
Kelsey Ward,kelsey.ward@bearnecessities.app,Temporary!1008, No,Kelsey,Ward
Morgan Ward,morgan.ward@bearnecessities.app,Temporary!1009, No,Morgan,Ward
Charlotte Waring,charlotte.waring@bearnecessities.app,Temporary!1010, No,Charlotte,Waring
Hannah Warnke,hannah.warnke@bearnecessities.app,Temporary!1011, No,Hannah,Warnke
Allan Wasserman,allan.wasserman@bearnecessities.app,Temporary!1012, No,Allan,Wasserman
Tealani Wasson,tealani.wasson@bearnecessities.app,Temporary!1013, No,Tealani,Wasson
Caden Waters,caden.waters@bearnecessities.app,Temporary!1014, No,Caden,Waters
Cheyenne Waters,cheyenne.waters@bearnecessities.app,Temporary!1015, No,Cheyenne,Waters
Conor Watts,conor.watts@bearnecessities.app,Temporary!1016, No,Conor,Watts
Laine Weber,laine.weber@bearnecessities.app,Temporary!1017, No,Laine,Weber
Kobi Weiland,kobi.weiland@bearnecessities.app,Temporary!1018, No,Kobi,Weiland
Holli Welcker,holli.welcker@bearnecessities.app,Temporary!1019, No,Holli,Welcker
Joshua West,joshua.west@bearnecessities.app,Temporary!1020, No,Joshua,West
RaileyAnn Westervelt,raileyann.westervelt@bearnecessities.app,Temporary!1021, No,RaileyAnn,Westervelt
John Weston,john.weston@bearnecessities.app,Temporary!1022, No,John,Weston
Owen Wetter,owen.wetter@bearnecessities.app,Temporary!1023, No,Owen,Wetter
Brennan Whalen,brennan.whalen@bearnecessities.app,Temporary!1024, No,Brennan,Whalen
Erin Whalen,erin.whalen@bearnecessities.app,Temporary!1025, No,Erin,Whalen
Keira Whalen,keira.whalen@bearnecessities.app,Temporary!1026, No,Keira,Whalen
Tamara Wheater,tamara.wheater@bearnecessities.app,Temporary!1027, No,Tamara,Wheater
Frederick Wheaton,frederick.wheaton@bearnecessities.app,Temporary!1028, No,Frederick,Wheaton
James Wheeler,james.wheeler@bearnecessities.app,Temporary!1029, No,James,Wheeler
Daniel Whelan,daniel.whelan@bearnecessities.app,Temporary!1030, No,Daniel,Whelan
Austin White,austin.white@bearnecessities.app,Temporary!1031, No,Austin,White
Lucas White,lucas.white@bearnecessities.app,Temporary!1032, No,Lucas,White
Mason White,mason.white@bearnecessities.app,Temporary!1033, No,Mason,White
Sophia White,sophia.white@bearnecessities.app,Temporary!1034, No,Sophia,White
Bradley Whiteway,bradley.whiteway@bearnecessities.app,Temporary!1035, No,Bradley,Whiteway
Madison Whitworth,madison.whitworth@bearnecessities.app,Temporary!1036, No,Madison,Whitworth
Claire Wiese,claire.wiese@bearnecessities.app,Temporary!1037, No,Claire,Wiese
Allie Wildsmith,allie.wildsmith@bearnecessities.app,Temporary!1038, No,Allie,Wildsmith
Jamison Wildt,jamison.wildt@bearnecessities.app,Temporary!1039, No,Jamison,Wildt
Daniel Williams,daniel.williams@bearnecessities.app,Temporary!1040, No,Daniel,Williams
Harrison Williams,harrison.williams@bearnecessities.app,Temporary!1041, No,Harrison,Williams
Dawson Willis,dawson.willis@bearnecessities.app,Temporary!1042, No,Dawson,Willis
Carson Wirtz,carson.wirtz@bearnecessities.app,Temporary!1043, No,Carson,Wirtz
Arwen Wise,arwen.wise@bearnecessities.app,Temporary!1044, No,Arwen,Wise
Kai Wismar,kai.wismar@bearnecessities.app,Temporary!1045, No,Kai,Wismar
William Wolf,william.wolf@bearnecessities.app,Temporary!1046, No,William,Wolf
Kyle Wong,kyle.wong@bearnecessities.app,Temporary!1047, No,Kyle,Wong
Lauren Wong,lauren.wong@bearnecessities.app,Temporary!1048, No,Lauren,Wong
Francis Wood,francis.wood@bearnecessities.app,Temporary!1049, No,Francis,Wood
Kira Wood,kira.wood@bearnecessities.app,Temporary!1050, No,Kira,Wood
Jacob Woodburn,jacob.woodburn@bearnecessities.app,Temporary!1051, No,Jacob,Woodburn
Devin Woodworth,devin.woodworth@bearnecessities.app,Temporary!1052, No,Devin,Woodworth
Owen Woolcott,owen.woolcott@bearnecessities.app,Temporary!1053, No,Owen,Woolcott
Kaylee Wright,kaylee.wright@bearnecessities.app,Temporary!1054, No,Kaylee,Wright
Toby Wroe,toby.wroe@bearnecessities.app,Temporary!1055, No,Toby,Wroe
Alexis Wunder,alexis.wunder@bearnecessities.app,Temporary!1056, No,Alexis,Wunder
Brandon Wunder,brandon.wunder@bearnecessities.app,Temporary!1057, No,Brandon,Wunder
Ava Yacovone,ava.yacovone@bearnecessities.app,Temporary!1058, No,Ava,Yacovone
Benjamin Yagey,benjamin.yagey@bearnecessities.app,Temporary!1059, No,Benjamin,Yagey
Kai-Hung Yang,kai-hung.yang@bearnecessities.app,Temporary!1060, No,Kai-Hung,Yang
Cortlyn Yeargin,cortlyn.yeargin@bearnecessities.app,Temporary!1061, No,Cortlyn,Yeargin
Daniel Yi,daniel.yi@bearnecessities.app,Temporary!1062, No,Daniel,Yi
Peter Yi,peter.yi@bearnecessities.app,Temporary!1063, No,Peter,Yi
Ryan Yi,ryan.yi@bearnecessities.app,Temporary!1064, No,Ryan,Yi
Grace Yokitis,grace.yokitis@bearnecessities.app,Temporary!1065, No,Grace,Yokitis
Ryan Younes,ryan.younes@bearnecessities.app,Temporary!1066, No,Ryan,Younes
Charles Young,charles.young@bearnecessities.app,Temporary!1067, No,Charles,Young
Noah Yraola,noah.yraola@bearnecessities.app,Temporary!1068, No,Noah,Yraola
Catherine Yurko,catherine.yurko@bearnecessities.app,Temporary!1069, No,Catherine,Yurko
David Zak,david.zak@bearnecessities.app,Temporary!1070, No,David,Zak
Carlos Zavala,carlos.zavala@bearnecessities.app,Temporary!1071, No,Carlos,Zavala
Meren Zeliger,meren.zeliger@bearnecessities.app,Temporary!1072, No,Meren,Zeliger
Carmen Zipf,carmen.zipf@bearnecessities.app,Temporary!1073, No,Carmen,Zipf
Luke Zylinski,luke.zylinski@bearnecessities.app,Temporary!1074, No,Luke,Zylinski
